PID,ArrivalTime,Instructions,IO_Rate
1,0,5000000,0.1
2,1,3000000,0.2
3,1,8000000,0.05
4,2,2000000,0.3
5,2,6000000,0.15
6,3,4000000,0.25
7,3,7000000,0.1
8,4,1000000,0.4
9,4,9000000,0.05
10,5,3500000,0.2
11,5,5500000,0.15
12,6,2500000,0.25
13,6,4500000,0.1
14,7,7500000,0.3
15,7,1500000,0.05
16,8,9500000,0.2
17,8,500000,0.4
18,9,6500000,0.15
19,9,8500000,0.1
20,10,3500000,0.25
21,10,5500000,0.05
22,11,2500000,0.3
23,11,4500000,0.2
24,12,7500000,0.1
25,12,1500000,0.4
26,13,9500000,0.05
27,13,500000,0.25
28,14,6500000,0.15
29,14,8500000,0.3
30,15,3500000,0.1
31,15,5500000,0.2
32,16,2500000,0.05
33,16,4500000,0.4
34,17,7500000,0.25
35,17,1500000,0.1
36,18,9500000,0.15
37,18,500000,0.3
38,19,6500000,0.2
39,19,8500000,0.05
40,20,3500000,0.4
41,20,5500000,0.1
42,21,2500000,0.25
43,21,4500000,0.15
44,22,7500000,0.3
45,22,1500000,0.2
46,23,9500000,0.05
47,23,500000,0.1
48,24,6500000,0.4
49,24,8500000,0.25
50,25,3500000,0.15
