PID,Name,ArrivalTime,Instructions,IO_Rate
1,svchost.exe,0,5000,0.1
2,discord.exe,1,3000,0.2
3,kernel_task,2,8000,0.05
4,chrome.exe,3,2000,0.3
5,bash,4,6000,0.15
6,spotify.exe,5,4000,0.25
7,explorer.exe,6,7000,0.1
8,steam.exe,7,1000,0.4
9,code.exe,8,9000,0.05
10,kworker,9,3500,0.2
11,systemd,10,4200,0.15
12,gnome-shell,11,5500,0.25
13,teams.exe,12,3000,0.3
14,photoshop.exe,13,9000,0.1
15,notepad.exe,14,1500,0.35
16,terminal,15,4800,0.2
17,java,16,7200,0.15
18,python,17,5300,0.25
19,docker,18,8100,0.1
20,vscode,19,4600,0.2
21,windows_update,20,8800,0.05
22,zoom.exe,21,3900,0.3
23,onedrive,22,4100,0.25
24,git-bash,23,2700,0.2
25,obs64.exe,24,9500,0.15
26,msedge.exe,25,3200,0.3
27,telegram.exe,26,2800,0.35
28,audio-service,27,1500,0.4
29,nvidia-helper,28,8700,0.1
30,powercfg,29,6000,0.2
31,firefox.exe,30,5200,0.25
32,adb.exe,31,3400,0.3
33,vmtoolsd,32,6400,0.1
34,cpu-monitor,33,4500,0.2
35,gimp.exe,34,7200,0.25
36,dropbox,35,2300,0.3
37,edgeupdate,36,1800,0.35
38,postgres,37,8000,0.1
39,mysqld,38,7600,0.1
40,redis-server,39,5000,0.15
41,nginx,40,4100,0.2
42,apache2,41,6100,0.15
43,ssh-agent,42,2200,0.3
44,composer,43,3800,0.25
45,go-build,44,5400,0.2
46,node.exe,45,4500,0.25
47,pip3,46,2600,0.3
48,python3,47,4800,0.25
49,dotnet,48,6900,0.15
50,javaw.exe,49,7700,0.1
51,gameoverlayui,50,3500,0.3
52,spotify-web,51,2100,0.35
53,discord-helper,52,2900,0.3
54,svchost2.exe,53,5500,0.2
55,taskmgr.exe,54,3300,0.3
56,calc.exe,55,1300,0.4
57,paint.exe,56,1900,0.35
58,registry,57,7000,0.1
59,powershell.exe,58,4400,0.25
60,cmd.exe,59,2800,0.3
61,explorer-helper,60,3600,0.25
62,windows-defender,61,9200,0.05
63,dwm.exe,62,4000,0.2
64,print-spooler,63,3100,0.3
65,settings.exe,64,2400,0.35
66,notepad++.exe,65,3400,0.3
67,chrome-helper,66,3700,0.25
68,update-checker,67,2600,0.3
69,defrag,68,8900,0.1
70,vsdebugger,69,6100,0.2
71,background-task,70,2000,0.35
72,photo-viewer,71,1700,0.4
73,network-service,72,4800,0.25
74,bluetoothd,73,5300,0.2
75,conhost.exe,74,3100,0.3
76,taskhostw.exe,75,3900,0.25
77,cortana.exe,76,3500,0.3
78,onedrive-sync,77,4200,0.25
79,update-agent,78,2800,0.3
80,vmcompute,79,6600,0.15
81,security-center,80,5800,0.2
82,crashpad,81,1500,0.35
83,searchindexer,82,5000,0.15
84,weather.exe,83,2000,0.35
85,spotify-adservice,84,3200,0.3
86,background-sync,85,2500,0.3
87,voiceassistant,86,3600,0.25
88,notificationsvc,87,2700,0.3
89,telemetry,88,7000,0.1
90,smartdrive,89,4800,0.25
91,network-helper,90,3000,0.3
92,database-backup,91,8500,0.1
93,cloud-service,92,7500,0.15
94,media-player,93,4200,0.25
95,clipchamp,94,3400,0.3
96,antimalware,95,9000,0.05
97,gameservice,96,3600,0.25
98,windows-shell,97,6800,0.15
99,task-scheduler,98,2400,0.3
100,terminal-service,99,4100,0.25
